,Time,ETHUSDT,BUSDUSDT
463,2023-06-04 18:37:00,1899.34,0.9998
464,2023-06-04 18:38:00,1899.15,0.9998
465,2023-06-04 18:39:00,1899.14,0.9998
466,2023-06-04 18:40:00,1899.01,0.9997
467,2023-06-04 18:41:00,1899.0,0.9997
468,2023-06-04 18:42:00,1899.0,0.9998
469,2023-06-04 18:43:00,1899.3,0.9998
470,2023-06-04 18:44:00,1899.3,0.9997
471,2023-06-04 18:45:00,1899.24,0.9997
472,2023-06-04 18:46:00,1899.15,0.9997
473,2023-06-04 18:47:00,1899.15,0.9997
474,2023-06-04 18:48:00,1899.16,0.9997
475,2023-06-04 18:49:00,1899.15,0.9997
476,2023-06-04 18:50:00,1899.15,0.9997
477,2023-06-04 18:51:00,1899.01,0.9998
478,2023-06-04 18:52:00,1899.25,0.9998
479,2023-06-04 18:53:00,1899.24,0.9997
480,2023-06-04 18:54:00,1899.62,0.9997
481,2023-06-04 18:55:00,1899.12,0.9997
482,2023-06-04 18:56:00,1899.1,0.9998
483,2023-06-04 18:57:00,1899.08,0.9997
484,2023-06-04 18:58:00,1899.01,0.9997
485,2023-06-04 18:59:00,1899.0,0.9997
486,2023-06-04 19:00:00,1899.26,0.9997
487,2023-06-04 19:01:00,1899.33,0.9997
488,2023-06-04 19:02:00,1899.63,0.9997
489,2023-06-04 19:03:00,1899.99,0.9998
490,2023-06-04 19:04:00,1900.88,0.9998
491,2023-06-04 19:05:00,1900.37,0.9997
492,2023-06-04 19:06:00,1900.38,0.9998
493,2023-06-04 19:07:00,1900.85,0.9998
494,2023-06-04 19:08:00,1900.84,0.9997
495,2023-06-04 19:09:00,1901.3,0.9997
496,2023-06-04 19:10:00,1901.39,0.9998
497,2023-06-04 19:11:00,1903.26,0.9998
498,2023-06-04 19:12:00,1902.98,0.9998
499,2023-06-04 19:13:00,1903.83,0.9997
500,2023-06-04 19:14:00,1903.05,0.9997
501,2023-06-04 19:15:00,1903.17,0.9998
502,2023-06-04 19:16:00,1901.79,0.9998
503,2023-06-04 19:17:00,1902.34,0.9998
504,2023-06-04 19:18:00,1902.54,0.9998
505,2023-06-04 19:19:00,1902.77,0.9998
506,2023-06-04 19:20:00,1902.78,0.9997
507,2023-06-04 19:21:00,1902.68,0.9998
508,2023-06-04 19:22:00,1903.56,0.9998
509,2023-06-04 19:23:00,1903.56,0.9997
510,2023-06-04 19:24:00,1903.16,0.9998
511,2023-06-04 19:25:00,1903.16,0.9997
512,2023-06-04 19:26:00,1903.16,0.9998
513,2023-06-04 19:27:00,1903.15,0.9997
514,2023-06-04 19:28:00,1903.16,0.9998
515,2023-06-04 19:29:00,1903.16,0.9997
516,2023-06-04 19:30:00,1902.35,0.9998
517,2023-06-04 19:31:00,1902.34,0.9997
518,2023-06-04 19:32:00,1903.28,0.9997
519,2023-06-04 19:33:00,1903.12,0.9998
520,2023-06-04 19:34:00,1902.58,0.9997
521,2023-06-04 19:35:00,1902.0,0.9997
522,2023-06-04 19:36:00,1902.0,0.9998
523,2023-06-04 19:37:00,1902.12,0.9998
524,2023-06-04 19:38:00,1902.15,0.9997
525,2023-06-04 19:39:00,1902.15,0.9998
526,2023-06-04 19:40:00,1902.16,0.9998
527,2023-06-04 19:41:00,1902.15,0.9997
528,2023-06-04 19:42:00,1902.21,0.9997
529,2023-06-04 19:43:00,1902.08,0.9998
530,2023-06-04 19:44:00,1901.83,0.9998
531,2023-06-04 19:45:00,1901.83,0.9998
532,2023-06-04 19:46:00,1901.64,0.9997
533,2023-06-04 19:47:00,1901.75,0.9997
