,Time,BTCUSDT,MDTUSDT
395,2023-06-04 17:11:00,27183.33,0.05067
396,2023-06-04 17:12:00,27188.44,0.0508
397,2023-06-04 17:13:00,27187.61,0.05076
398,2023-06-04 17:14:00,27190.18,0.05071
399,2023-06-04 17:15:00,27193.23,0.05071
400,2023-06-04 17:16:00,27180.01,0.05074
401,2023-06-04 17:17:00,27174.64,0.05057
402,2023-06-04 17:18:00,27174.76,0.05057
403,2023-06-04 17:19:00,27173.3,0.05063
404,2023-06-04 17:20:00,27170.78,0.05066
405,2023-06-04 17:21:00,27170.78,0.0506
406,2023-06-04 17:22:00,27182.98,0.0506
407,2023-06-04 17:23:00,27186.53,0.05049
408,2023-06-04 17:24:00,27197.98,0.05048
409,2023-06-04 17:25:00,27176.1,0.05044
410,2023-06-04 17:26:00,27171.67,0.05049
411,2023-06-04 17:27:00,27173.69,0.05049
412,2023-06-04 17:28:00,27170.88,0.05049
413,2023-06-04 17:29:00,27175.12,0.05049
414,2023-06-04 17:30:00,27170.89,0.05054
415,2023-06-04 17:31:00,27171.43,0.05048
416,2023-06-04 17:32:00,27181.15,0.05052
417,2023-06-04 17:33:00,27185.94,0.05051
418,2023-06-04 17:34:00,27185.93,0.05043
419,2023-06-04 17:35:00,27185.93,0.05045
420,2023-06-04 17:36:00,27182.65,0.05045
421,2023-06-04 17:37:00,27181.5,0.05049
422,2023-06-04 17:38:00,27179.34,0.05047
423,2023-06-04 17:39:00,27179.33,0.05047
424,2023-06-04 17:40:00,27185.93,0.05028
425,2023-06-04 17:41:00,27178.64,0.05026
426,2023-06-04 17:42:00,27181.5,0.05028
427,2023-06-04 17:43:00,27181.49,0.05026
428,2023-06-04 17:44:00,27186.6,0.05014
429,2023-06-04 17:45:00,27186.6,0.05019
430,2023-06-04 17:46:00,27186.95,0.05018
431,2023-06-04 17:47:00,27188.64,0.05023
432,2023-06-04 17:48:00,27193.89,0.05023
433,2023-06-04 17:49:00,27190.92,0.05021
434,2023-06-04 17:50:00,27190.91,0.05029
435,2023-06-04 17:51:00,27189.66,0.05028
436,2023-06-04 17:52:00,27181.82,0.05032
