,Time,BTCUSDT,COMPUSDT
500,2023-06-04 18:57:00,27187.34,35.65
501,2023-06-04 18:58:00,27179.06,35.66
502,2023-06-04 18:59:00,27176.76,35.66
503,2023-06-04 19:00:00,27186.92,35.62
504,2023-06-04 19:01:00,27188.3,35.62
505,2023-06-04 19:02:00,27189.64,35.63
506,2023-06-04 19:03:00,27189.63,35.63
507,2023-06-04 19:04:00,27198.82,35.63
508,2023-06-04 19:05:00,27191.84,35.62
509,2023-06-04 19:06:00,27191.85,35.63
510,2023-06-04 19:07:00,27192.16,35.62
511,2023-06-04 19:08:00,27192.16,35.63
512,2023-06-04 19:09:00,27192.17,35.63
513,2023-06-04 19:10:00,27190.3,35.64
514,2023-06-04 19:11:00,27201.86,35.64
515,2023-06-04 19:12:00,27198.41,35.66
516,2023-06-04 19:13:00,27209.02,35.68
517,2023-06-04 19:14:00,27206.23,35.7
518,2023-06-04 19:15:00,27206.24,35.69
519,2023-06-04 19:16:00,27197.95,35.69
520,2023-06-04 19:17:00,27200.51,35.69
521,2023-06-04 19:18:00,27200.52,35.69
522,2023-06-04 19:19:00,27199.96,35.67
523,2023-06-04 19:20:00,27199.96,35.68
524,2023-06-04 19:21:00,27194.21,35.68
525,2023-06-04 19:22:00,27201.99,35.71
526,2023-06-04 19:23:00,27201.99,35.71
527,2023-06-04 19:24:00,27195.27,35.71
528,2023-06-04 19:25:00,27195.26,35.71
529,2023-06-04 19:26:00,27197.49,35.7
530,2023-06-04 19:27:00,27197.55,35.7
531,2023-06-04 19:28:00,27197.56,35.7
532,2023-06-04 19:29:00,27197.56,35.71
533,2023-06-04 19:30:00,27186.88,35.7
534,2023-06-04 19:31:00,27188.93,35.7
535,2023-06-04 19:32:00,27195.47,35.71
536,2023-06-04 19:33:00,27195.47,35.71
537,2023-06-04 19:34:00,27191.92,35.72
538,2023-06-04 19:35:00,27191.92,35.72
539,2023-06-04 19:36:00,27191.92,35.72
540,2023-06-04 19:37:00,27191.91,35.73
541,2023-06-04 19:38:00,27195.88,35.72
542,2023-06-04 19:39:00,27195.89,35.73
543,2023-06-04 19:40:00,27195.89,35.73
544,2023-06-04 19:41:00,27196.07,35.73
545,2023-06-04 19:42:00,27196.07,35.74
546,2023-06-04 19:43:00,27193.2,35.72
547,2023-06-04 19:44:00,27187.76,35.7
548,2023-06-04 19:45:00,27187.76,35.71
549,2023-06-04 19:46:00,27187.77,35.72
550,2023-06-04 19:47:00,27189.07,35.73
551,2023-06-04 19:48:00,27189.07,35.73
552,2023-06-04 19:49:00,27189.08,35.72
553,2023-06-04 19:50:00,27189.07,35.72
554,2023-06-04 19:51:00,27189.07,35.72
555,2023-06-04 19:52:00,27189.07,35.73
556,2023-06-04 19:53:00,27188.78,35.71
557,2023-06-04 19:54:00,27188.78,35.72
558,2023-06-04 19:55:00,27187.03,35.71
559,2023-06-04 19:56:00,27187.92,35.71
560,2023-06-04 19:57:00,27187.91,35.71
561,2023-06-04 19:58:00,27194.19,35.71
562,2023-06-04 19:59:00,27194.18,35.72
563,2023-06-04 20:00:00,27193.51,35.72
564,2023-06-04 20:01:00,27188.66,35.72
565,2023-06-04 20:02:00,27188.66,35.72
566,2023-06-04 20:03:00,27188.67,35.72
567,2023-06-04 20:04:00,27188.67,35.75
568,2023-06-04 20:05:00,27194.98,35.75
569,2023-06-04 20:06:00,27194.99,35.76
570,2023-06-04 20:07:00,27200.88,35.77
571,2023-06-04 20:08:00,27200.88,35.79
572,2023-06-04 20:09:00,27200.88,35.76
573,2023-06-04 20:10:00,27200.8,35.76
574,2023-06-04 20:11:00,27200.57,35.77
575,2023-06-04 20:12:00,27200.58,35.78
576,2023-06-04 20:13:00,27200.55,35.76
577,2023-06-04 20:14:00,27195.5,35.76
578,2023-06-04 20:15:00,27195.5,35.76
