,Time,ETHUSDT,BNBUSDT
428,2023-06-04 18:01:00,1897.5,305.8
429,2023-06-04 18:02:00,1897.85,305.9
430,2023-06-04 18:03:00,1897.88,305.9
431,2023-06-04 18:04:00,1898.5,305.9
432,2023-06-04 18:05:00,1898.86,305.8
433,2023-06-04 18:06:00,1898.85,305.8
434,2023-06-04 18:07:00,1899.22,305.9
435,2023-06-04 18:08:00,1899.56,305.8
436,2023-06-04 18:09:00,1900.1,305.9
437,2023-06-04 18:10:00,1899.53,305.9
438,2023-06-04 18:11:00,1899.29,305.8
439,2023-06-04 18:12:00,1899.08,305.8
440,2023-06-04 18:13:00,1899.07,305.9
441,2023-06-04 18:14:00,1899.07,305.8
442,2023-06-04 18:15:00,1899.42,305.9
443,2023-06-04 18:16:00,1899.5,305.8
444,2023-06-04 18:17:00,1899.5,305.9
445,2023-06-04 18:18:00,1899.5,305.8
446,2023-06-04 18:19:00,1899.51,305.8
447,2023-06-04 18:20:00,1899.51,305.7
448,2023-06-04 18:21:00,1899.14,305.8
449,2023-06-04 18:22:00,1899.08,305.8
450,2023-06-04 18:23:00,1899.01,305.8
451,2023-06-04 18:24:00,1898.78,305.8
452,2023-06-04 18:25:00,1898.5,305.7
453,2023-06-04 18:26:00,1898.47,305.7
454,2023-06-04 18:27:00,1898.6,305.8
455,2023-06-04 18:28:00,1898.59,305.7
456,2023-06-04 18:29:00,1899.51,305.7
457,2023-06-04 18:30:00,1899.54,305.8
458,2023-06-04 18:31:00,1899.76,305.7
459,2023-06-04 18:32:00,1899.25,305.8
460,2023-06-04 18:33:00,1899.36,305.7
461,2023-06-04 18:34:00,1899.36,305.8
462,2023-06-04 18:35:00,1899.37,305.8
463,2023-06-04 18:36:00,1899.54,305.8
464,2023-06-04 18:37:00,1899.34,305.8
465,2023-06-04 18:38:00,1899.15,305.7
466,2023-06-04 18:39:00,1899.14,305.8
467,2023-06-04 18:40:00,1899.01,305.8
468,2023-06-04 18:41:00,1899.0,305.8
469,2023-06-04 18:42:00,1899.0,305.8
470,2023-06-04 18:43:00,1899.3,305.8
471,2023-06-04 18:44:00,1899.3,305.8
472,2023-06-04 18:45:00,1899.24,305.7
473,2023-06-04 18:46:00,1899.15,305.7
474,2023-06-04 18:47:00,1899.15,305.7
475,2023-06-04 18:48:00,1899.16,305.8
476,2023-06-04 18:49:00,1899.15,305.8
477,2023-06-04 18:50:00,1899.15,305.8
478,2023-06-04 18:51:00,1899.01,305.7
479,2023-06-04 18:52:00,1899.25,305.8
480,2023-06-04 18:53:00,1899.24,305.7
481,2023-06-04 18:54:00,1899.62,305.9
482,2023-06-04 18:55:00,1899.12,305.8
483,2023-06-04 18:56:00,1899.1,305.9
484,2023-06-04 18:57:00,1899.08,305.8
485,2023-06-04 18:58:00,1899.01,305.8
486,2023-06-04 18:59:00,1899.0,305.7
487,2023-06-04 19:00:00,1899.26,305.7
488,2023-06-04 19:01:00,1899.33,305.7
489,2023-06-04 19:02:00,1899.63,305.8
490,2023-06-04 19:03:00,1899.99,305.8
491,2023-06-04 19:04:00,1900.88,305.9
492,2023-06-04 19:05:00,1900.37,305.9
493,2023-06-04 19:06:00,1900.38,305.9
494,2023-06-04 19:07:00,1900.85,306.0
495,2023-06-04 19:08:00,1900.84,306.0
496,2023-06-04 19:09:00,1901.3,306.0
497,2023-06-04 19:10:00,1901.39,306.0
498,2023-06-04 19:11:00,1903.26,306.0
499,2023-06-04 19:12:00,1902.98,305.9
500,2023-06-04 19:13:00,1903.83,306.0
501,2023-06-04 19:14:00,1903.05,306.0
502,2023-06-04 19:15:00,1903.17,306.0
503,2023-06-04 19:16:00,1901.79,306.0
504,2023-06-04 19:17:00,1902.34,305.9
505,2023-06-04 19:18:00,1902.54,306.0
506,2023-06-04 19:19:00,1902.77,306.0
507,2023-06-04 19:20:00,1902.78,305.9
508,2023-06-04 19:21:00,1902.68,306.0
509,2023-06-04 19:22:00,1903.56,305.9
510,2023-06-04 19:23:00,1903.56,306.0
511,2023-06-04 19:24:00,1903.16,306.0
512,2023-06-04 19:25:00,1903.16,306.0
513,2023-06-04 19:26:00,1903.16,306.0
514,2023-06-04 19:27:00,1903.15,306.0
515,2023-06-04 19:28:00,1903.16,305.9
516,2023-06-04 19:29:00,1903.16,305.9
517,2023-06-04 19:30:00,1902.35,305.8
518,2023-06-04 19:31:00,1902.34,305.8
519,2023-06-04 19:32:00,1903.28,305.9
520,2023-06-04 19:33:00,1903.12,305.8
521,2023-06-04 19:34:00,1902.58,305.9
522,2023-06-04 19:35:00,1902.0,305.8
523,2023-06-04 19:36:00,1902.0,305.8
524,2023-06-04 19:37:00,1902.12,305.8
525,2023-06-04 19:38:00,1902.15,305.8
526,2023-06-04 19:39:00,1902.15,305.9
527,2023-06-04 19:40:00,1902.16,305.9
528,2023-06-04 19:41:00,1902.15,305.8
529,2023-06-04 19:42:00,1902.21,305.8
530,2023-06-04 19:43:00,1902.08,305.8
531,2023-06-04 19:44:00,1901.83,305.8
532,2023-06-04 19:45:00,1901.83,305.8
533,2023-06-04 19:46:00,1901.64,305.9
534,2023-06-04 19:47:00,1901.75,305.9
535,2023-06-04 19:48:00,1901.92,305.9
536,2023-06-04 19:49:00,1901.91,305.9
537,2023-06-04 19:50:00,1901.92,305.9
538,2023-06-04 19:51:00,1901.91,305.9
539,2023-06-04 19:52:00,1901.92,305.7
540,2023-06-04 19:53:00,1901.92,305.8
541,2023-06-04 19:54:00,1902.05,305.7
542,2023-06-04 19:55:00,1902.05,305.8
543,2023-06-04 19:56:00,1902.18,305.8
544,2023-06-04 19:57:00,1902.21,305.7
545,2023-06-04 19:58:00,1903.15,305.7
546,2023-06-04 19:59:00,1903.16,305.8
547,2023-06-04 20:00:00,1902.85,305.9
548,2023-06-04 20:01:00,1902.62,305.9
549,2023-06-04 20:02:00,1902.62,305.8
550,2023-06-04 20:03:00,1902.62,305.9
551,2023-06-04 20:04:00,1902.96,305.9
552,2023-06-04 20:05:00,1903.57,305.8
553,2023-06-04 20:06:00,1903.57,305.8
554,2023-06-04 20:07:00,1904.08,305.8
555,2023-06-04 20:08:00,1904.08,305.9
556,2023-06-04 20:09:00,1904.01,305.9
557,2023-06-04 20:10:00,1904.01,305.8
558,2023-06-04 20:11:00,1904.0,305.9
559,2023-06-04 20:12:00,1904.12,305.8
560,2023-06-04 20:13:00,1904.18,305.8
561,2023-06-04 20:14:00,1903.45,305.9
562,2023-06-04 20:15:00,1903.38,305.9
563,2023-06-04 20:16:00,1903.37,305.8
564,2023-06-04 20:17:00,1903.37,305.9
565,2023-06-04 20:18:00,1903.37,305.9
566,2023-06-04 20:19:00,1903.11,305.9
567,2023-06-04 20:20:00,1903.24,305.9
568,2023-06-04 20:21:00,1903.67,305.8
569,2023-06-04 20:22:00,1904.18,305.8
570,2023-06-04 20:23:00,1904.18,305.8
571,2023-06-04 20:24:00,1904.25,305.9
572,2023-06-04 20:25:00,1904.39,305.8
573,2023-06-04 20:26:00,1904.39,305.8
574,2023-06-04 20:27:00,1904.81,305.8
575,2023-06-04 20:28:00,1905.39,306.0
576,2023-06-04 20:29:00,1904.65,305.9
577,2023-06-04 20:30:00,1905.11,305.9
578,2023-06-04 20:31:00,1904.42,306.0
