,Time,ETHUSDT,MDTUSDT
410,2023-06-04 17:46:00,1898.38,0.05018
411,2023-06-04 17:47:00,1898.13,0.05023
412,2023-06-04 17:48:00,1898.38,0.05023
413,2023-06-04 17:49:00,1898.02,0.05021
414,2023-06-04 17:50:00,1898.45,0.05029
415,2023-06-04 17:51:00,1898.44,0.05028
416,2023-06-04 17:52:00,1898.33,0.05032
417,2023-06-04 17:53:00,1898.2,0.05032
418,2023-06-04 17:54:00,1898.27,0.05027
419,2023-06-04 17:55:00,1897.64,0.05028
420,2023-06-04 17:56:00,1897.65,0.05024
421,2023-06-04 17:57:00,1897.45,0.05023
422,2023-06-04 17:58:00,1897.24,0.05022
423,2023-06-04 17:59:00,1897.6,0.05019
424,2023-06-04 18:00:00,1897.37,0.05017
425,2023-06-04 18:01:00,1897.5,0.05031
426,2023-06-04 18:02:00,1897.85,0.05034
427,2023-06-04 18:03:00,1897.88,0.0502
428,2023-06-04 18:04:00,1898.5,0.05017
429,2023-06-04 18:05:00,1898.86,0.05005
430,2023-06-04 18:06:00,1898.85,0.05005
431,2023-06-04 18:07:00,1899.22,0.05005
432,2023-06-04 18:08:00,1899.56,0.05005
433,2023-06-04 18:09:00,1900.1,0.05005
434,2023-06-04 18:10:00,1899.53,0.05005
435,2023-06-04 18:11:00,1899.29,0.05004
436,2023-06-04 18:12:00,1899.08,0.05004
437,2023-06-04 18:13:00,1899.07,0.05032
438,2023-06-04 18:14:00,1899.07,0.05035
439,2023-06-04 18:15:00,1899.42,0.05035
440,2023-06-04 18:16:00,1899.5,0.05035
441,2023-06-04 18:17:00,1899.5,0.0503
442,2023-06-04 18:18:00,1899.5,0.05018
443,2023-06-04 18:19:00,1899.51,0.05013
444,2023-06-04 18:20:00,1899.51,0.05013
445,2023-06-04 18:21:00,1899.14,0.05013
446,2023-06-04 18:22:00,1899.08,0.05022
447,2023-06-04 18:23:00,1899.01,0.05022
448,2023-06-04 18:24:00,1898.78,0.05022
449,2023-06-04 18:25:00,1898.5,0.05022
450,2023-06-04 18:26:00,1898.47,0.05017
451,2023-06-04 18:27:00,1898.6,0.05024
452,2023-06-04 18:28:00,1898.59,0.05027
453,2023-06-04 18:29:00,1899.51,0.05015
454,2023-06-04 18:30:00,1899.54,0.05015
455,2023-06-04 18:31:00,1899.76,0.05013
456,2023-06-04 18:32:00,1899.25,0.05007
457,2023-06-04 18:33:00,1899.36,0.05011
458,2023-06-04 18:34:00,1899.36,0.05007
459,2023-06-04 18:35:00,1899.37,0.05
460,2023-06-04 18:36:00,1899.54,0.05003
461,2023-06-04 18:37:00,1899.34,0.05004
462,2023-06-04 18:38:00,1899.15,0.05001
463,2023-06-04 18:39:00,1899.14,0.05002
464,2023-06-04 18:40:00,1899.01,0.04982
465,2023-06-04 18:41:00,1899.0,0.04968
466,2023-06-04 18:42:00,1899.0,0.04972
467,2023-06-04 18:43:00,1899.3,0.04977
468,2023-06-04 18:44:00,1899.3,0.04977
469,2023-06-04 18:45:00,1899.24,0.04978
470,2023-06-04 18:46:00,1899.15,0.04973
471,2023-06-04 18:47:00,1899.15,0.04972
472,2023-06-04 18:48:00,1899.16,0.04971
473,2023-06-04 18:49:00,1899.15,0.0497
474,2023-06-04 18:50:00,1899.15,0.04969
475,2023-06-04 18:51:00,1899.01,0.0497
476,2023-06-04 18:52:00,1899.25,0.04966
477,2023-06-04 18:53:00,1899.24,0.04971
478,2023-06-04 18:54:00,1899.62,0.04971
479,2023-06-04 18:55:00,1899.12,0.04968
480,2023-06-04 18:56:00,1899.1,0.04967
481,2023-06-04 18:57:00,1899.08,0.04967
482,2023-06-04 18:58:00,1899.01,0.04964
483,2023-06-04 18:59:00,1899.0,0.04955
484,2023-06-04 19:00:00,1899.26,0.0494
485,2023-06-04 19:01:00,1899.33,0.04941
486,2023-06-04 19:02:00,1899.63,0.04944
487,2023-06-04 19:03:00,1899.99,0.04947
488,2023-06-04 19:04:00,1900.88,0.04947
489,2023-06-04 19:05:00,1900.37,0.04947
490,2023-06-04 19:06:00,1900.38,0.04945
491,2023-06-04 19:07:00,1900.85,0.0495
492,2023-06-04 19:08:00,1900.84,0.04953
493,2023-06-04 19:09:00,1901.3,0.0494
494,2023-06-04 19:10:00,1901.39,0.04947
495,2023-06-04 19:11:00,1903.26,0.04946
496,2023-06-04 19:12:00,1902.98,0.04947
497,2023-06-04 19:13:00,1903.83,0.04953
498,2023-06-04 19:14:00,1903.05,0.04959
499,2023-06-04 19:15:00,1903.17,0.04952
500,2023-06-04 19:16:00,1901.79,0.04952
501,2023-06-04 19:17:00,1902.34,0.04973
502,2023-06-04 19:18:00,1902.54,0.04982
503,2023-06-04 19:19:00,1902.77,0.04981
504,2023-06-04 19:20:00,1902.78,0.04975
505,2023-06-04 19:21:00,1902.68,0.04976
506,2023-06-04 19:22:00,1903.56,0.04977
507,2023-06-04 19:23:00,1903.56,0.04988
508,2023-06-04 19:24:00,1903.16,0.04985
509,2023-06-04 19:25:00,1903.16,0.04988
510,2023-06-04 19:26:00,1903.16,0.04988
511,2023-06-04 19:27:00,1903.15,0.0499
512,2023-06-04 19:28:00,1903.16,0.04971
513,2023-06-04 19:29:00,1903.16,0.04954
514,2023-06-04 19:30:00,1902.35,0.04957
515,2023-06-04 19:31:00,1902.34,0.04948
516,2023-06-04 19:32:00,1903.28,0.04946
517,2023-06-04 19:33:00,1903.12,0.0494
518,2023-06-04 19:34:00,1902.58,0.04941
519,2023-06-04 19:35:00,1902.0,0.04939
520,2023-06-04 19:36:00,1902.0,0.04935
521,2023-06-04 19:37:00,1902.12,0.04934
522,2023-06-04 19:38:00,1902.15,0.0494
523,2023-06-04 19:39:00,1902.15,0.04938
524,2023-06-04 19:40:00,1902.16,0.04938
525,2023-06-04 19:41:00,1902.15,0.0493
526,2023-06-04 19:42:00,1902.21,0.04927
527,2023-06-04 19:43:00,1902.08,0.04924
528,2023-06-04 19:44:00,1901.83,0.04927
529,2023-06-04 19:45:00,1901.83,0.04925
530,2023-06-04 19:46:00,1901.64,0.04924
531,2023-06-04 19:47:00,1901.75,0.04924
532,2023-06-04 19:48:00,1901.92,0.04921
533,2023-06-04 19:49:00,1901.91,0.04906
534,2023-06-04 19:50:00,1901.92,0.04907
535,2023-06-04 19:51:00,1901.91,0.04902
536,2023-06-04 19:52:00,1901.92,0.049
537,2023-06-04 19:53:00,1901.92,0.049
538,2023-06-04 19:54:00,1902.05,0.04898
539,2023-06-04 19:55:00,1902.05,0.049
540,2023-06-04 19:56:00,1902.18,0.049
541,2023-06-04 19:57:00,1902.21,0.04897
542,2023-06-04 19:58:00,1903.15,0.04899
543,2023-06-04 19:59:00,1903.16,0.04901
544,2023-06-04 20:00:00,1902.85,0.04905
545,2023-06-04 20:01:00,1902.62,0.04903
546,2023-06-04 20:02:00,1902.62,0.04914
547,2023-06-04 20:03:00,1902.62,0.04907
548,2023-06-04 20:04:00,1902.96,0.04902
549,2023-06-04 20:05:00,1903.57,0.04901
550,2023-06-04 20:06:00,1903.57,0.04912
551,2023-06-04 20:07:00,1904.08,0.04906
552,2023-06-04 20:08:00,1904.08,0.04911
553,2023-06-04 20:09:00,1904.01,0.04912
554,2023-06-04 20:10:00,1904.01,0.04908
555,2023-06-04 20:11:00,1904.0,0.049
