,Time,BTCUSDT,BUSDUSDT
375,2023-06-04 16:49:00,27201.68,0.9999
376,2023-06-04 16:50:00,27201.67,0.9999
377,2023-06-04 16:51:00,27201.68,0.9999
378,2023-06-04 16:52:00,27204.53,0.9999
379,2023-06-04 16:53:00,27202.97,0.9999
380,2023-06-04 16:54:00,27194.01,0.9998
381,2023-06-04 16:55:00,27199.37,0.9999
382,2023-06-04 16:56:00,27200.34,0.9999
383,2023-06-04 16:57:00,27193.19,0.9999
384,2023-06-04 16:58:00,27193.73,0.9999
385,2023-06-04 16:59:00,27179.0,0.9999
386,2023-06-04 17:00:00,27179.5,0.9998
387,2023-06-04 17:01:00,27184.82,0.9999
388,2023-06-04 17:02:00,27183.53,0.9999
389,2023-06-04 17:03:00,27178.95,0.9998
390,2023-06-04 17:04:00,27171.01,0.9998
391,2023-06-04 17:05:00,27168.64,0.9998
392,2023-06-04 17:06:00,27166.43,0.9998
393,2023-06-04 17:07:00,27164.26,0.9999
394,2023-06-04 17:08:00,27186.58,0.9998
395,2023-06-04 17:09:00,27186.8,0.9998
396,2023-06-04 17:10:00,27183.33,0.9998
397,2023-06-04 17:11:00,27183.33,0.9998
398,2023-06-04 17:12:00,27188.44,0.9998
399,2023-06-04 17:13:00,27187.61,0.9999
400,2023-06-04 17:14:00,27190.18,0.9998
401,2023-06-04 17:15:00,27193.23,0.9999
402,2023-06-04 17:16:00,27180.01,0.9999
403,2023-06-04 17:17:00,27174.64,0.9998
404,2023-06-04 17:18:00,27174.76,0.9999
405,2023-06-04 17:19:00,27173.3,0.9998
406,2023-06-04 17:20:00,27170.78,0.9998
407,2023-06-04 17:21:00,27170.78,0.9999
408,2023-06-04 17:22:00,27182.98,0.9999
409,2023-06-04 17:23:00,27186.53,0.9998
410,2023-06-04 17:24:00,27197.98,0.9998
411,2023-06-04 17:25:00,27176.1,0.9999
412,2023-06-04 17:26:00,27171.67,0.9998
413,2023-06-04 17:27:00,27173.69,0.9999
414,2023-06-04 17:28:00,27170.88,0.9998
415,2023-06-04 17:29:00,27175.12,0.9998
416,2023-06-04 17:30:00,27170.89,0.9998
417,2023-06-04 17:31:00,27171.43,0.9998
418,2023-06-04 17:32:00,27181.15,0.9998
419,2023-06-04 17:33:00,27185.94,0.9998
420,2023-06-04 17:34:00,27185.93,0.9998
421,2023-06-04 17:35:00,27185.93,0.9998
422,2023-06-04 17:36:00,27182.65,0.9998
423,2023-06-04 17:37:00,27181.5,0.9998
424,2023-06-04 17:38:00,27179.34,0.9999
425,2023-06-04 17:39:00,27179.33,0.9998
426,2023-06-04 17:40:00,27185.93,0.9999
427,2023-06-04 17:41:00,27178.64,0.9999
428,2023-06-04 17:42:00,27181.5,0.9999
429,2023-06-04 17:43:00,27181.49,0.9998
430,2023-06-04 17:44:00,27186.6,0.9999
431,2023-06-04 17:45:00,27186.6,0.9999
432,2023-06-04 17:46:00,27186.95,0.9999
